How It Can Help You,Policy Name,id
Aims to provide health insurance coverage to economically vulnerable families in India.,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (PM-JAY),
Provides financial support to farmers by giving them income support directly.,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),
Flagship program to build affordable houses for all urban poor by 2022.,Pradhan Mantri Awas Yojana (PMAY-Urban),
Focuses on skill development and entrepreneurship training for youth.,Pradhan Mantri Kaushal Vikas Yojana (PMKVY),
"Provides old-age pension to senior citizens, widows, and disabled persons.",National Social Assistance Programme (NSAP),
Seeks to ensure access to electricity to all households in rural areas.,Saubhagya Scheme,
Provides LPG connections to women from Below Poverty Line households.,Pradhan Mantri Ujjwala Yojana (PMUY),
Promotes girl child education and welfare through savings accounts.,Beti Bachao Beti Padhao,
Ensures minimum pension and social security for workers in the unorganized sector.,Pradhan Mantri Shram Yogi Maandhan (PM-SYM),
Provides low-cost accident insurance cover to individuals.,Pradhan Mantri Suraksha Bima Yojana (PMSBY),
Provides life insurance coverage at affordable premium.,Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY),
Promotes financial inclusion by ensuring banking services for all households.,Pradhan Mantri Jan Dhan Yojana (PMJDY),
Supports farmers with crop insurance in case of natural calamities.,Pradhan Mantri Fasal Bima Yojana (PMFBY),
Scholarship scheme to support education for students from minority communities.,Post Matric Scholarship for Minorities,
Free LPG refills to PMUY beneficiaries during COVID-19 pandemic.,Pradhan Mantri Garib Kalyan Yojana (PMGKY),
Covers treatment of critical illnesses for government employees and pensioners.,Central Government Health Scheme (CGHS),
Provides nutrition support to pregnant women and lactating mothers.,Pradhan Mantri Matru Vandana Yojana (PMMVY),
"Scholarship for SC, ST, and OBC students to pursue higher education.",National Fellowship and Scholarship for Higher Education,
"Scheme for women's safety, security, and empowerment.",Nirbhaya Fund,
Aims to rejuvenate and clean the river Ganga.,Namami Gange Programme,
Promotes manufacturing in India by encouraging domestic and foreign investments.,Make in India,
Scholarship program for school children from economically weaker sections.,National Means-Cum-Merit Scholarship Scheme (NMMSS),
Provides free midday meals to school children to improve nutrition.,Mid-Day Meal Scheme,
"Pension scheme for farmers providing Ruppes 3,000 per month post-retirement.",Pradhan Mantri Kisan Maandhan Yojana,
Employment guarantee scheme that provides 100 days of wage employment.,Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),
Promotes cleanliness and sanitation by eliminating open defecation.,Swachh Bharat Mission,
Encourages savings among low-income groups through small deposit accounts.,Atal Pension Yojana (APY),
Scheme to provide quality education in government schools.,Samagra Shiksha Abhiyan,
Encourages self-employment and organization of rural poor.,Deen Dayal Antyodaya Yojana (DAY-NRLM),
Aims to promote digital transactions and financial literacy.,Digital India Programme,
